Film name,Genre,Plot,Directed by,Written by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Budget,Box office
The Man Who Wouldn't Die (1995 film),Mystery,"In The Man Who Wouldn't Die art imitates life for Thomas Grace (Roger Moore), a famous British ex-novelist who wrote a series of acclaimed crime stories featuring a villain patterned after real-life criminal Bernard Drake (Malcolm McDowell).  Now living in America, Grace works as a hack reporter for a city newspaper.  After reading one of Grace's books, Jessie Gallardo (Nancy Allen), a waitress with burgeoning psychic abilities, predicts several murders—with Grace as one of the victims.  Her visions identify the enemy as Drake, who has escaped from prison by faking his own death in a fire.  As Drake sets out to frame the author for a series of grisly murders based around his novels, it is up to Thomas and Jessie to clear their names, stop him, and stay alive in the process.  Eric McCormack co-stars as a doubtful newspaper colleague.",Bill Condon,Don Shroll/ David Amann,,,Roger Moore/ Nancy Allen/ Malcolm McDowell/ Eric McCormack,Stephen M. Katz,,David Shire,,,,98 minutes,,
The Man with Nine Lives (film),Mystery,"Dr. Tim Mason (Roger Pryor), a medical researcher experimenting in ""frozen therapy"" visits the deserted home of Dr. Leon Kravaal (Boris Karloff), the originator of the therapy, who has been missing for ten years. After discovering a secret passage in the basement, Dr. Mason and his nurse (Jo Ann Sayers) discover Kravaal frozen in an ice chambers. The doctor and nurse successfully revive Kravaal and Kravaal explains in flashback how he and five other men came to be frozen ten years earlier. One man is found dead. However, the other four men are located and revived. Because of closed-minded prejudice against science, one of the four men destroys Kravaal's formula for ""frozen therapy."" In an act of rage and self preservation, Kravaal isn't able to stop the man in time from destroying it and shoots and kills him. Not having memorized the formula as of yet, Kravaal holds everyone captive in order to use them as guinea pigs, hoping to unlock the key to ""frozen therapy"" for a second time.",Nick Grinde,,Harold Shumate,,Boris Karloff,Benjamin H. Kline/ (as Benjamin Kline),Al Clark,,,Columbia Pictures,"April 18, 1940",74 minutes,,
The Mantrap,Mystery,"After being first at the scene of an accident, retired crime expert from Scotland Yard, Sir Humphrey Quilp, is given a “birthday present” of the fun of solving the crime by the Assistant District Attorney who is already sure of the identity of the murderer.  Over the objections of his family, Quilp takes on the task using old fashioned logic and the knowledge of human nature instead of modern (1943) methods like fingerprints and microscopes.  At the end of the day Quilp has revealed the killer, redeemed the innocent, and proved that he still has what it takes even if he is ready for a rest.",George Sherman,,,George Sherman,Henry Stephenson/ Lloyd Corrigan/ Joseph Allen/ Dorothy Lovett/ Edmund MacDonald/ Alice Fleming,William Bradford,Arthur Roberts,Mort Glickman,,Republic Pictures,"April 13, 1943",57 minutes,,
Marlowe (1969 film),Mystery,"Los Angeles private eye Philip Marlowe is hired by a Kansas woman named Orfamay Quest, who desperately wants him to find her brother, Orrin. After Marlowe searches Orrin's former hotel room, he finds the desk clerk, Haven Clausen, murdered with an ice pick and a page torn out of the register book. Soon afterwards, Marlowe receives a call from hotel guest Grant Hicks, who nervously implores him to hold onto something for a day. When Marlowe arrives at his location, he finds Hicks with an ice pick buried in his neck and is confronted by a masked woman, who knocks Marlowe out and flees. Marlowe searches the room and finds a claim ticket for a photographic film.
Marlowe traces the masked woman to a movie star, Mavis Wald, and her friend, exotic dancer Dolores Gonzales. He suspects Wald of having a role in the murder of a blackmailer who had photographs showing her having a rendezvous with mobster boss Sonny Steelgrave, and offers her his help, which she rejects. Steelgrave makes several unsuccessful attempts to scare Marlowe off the case.
With help from Wald's agent, Marlowe is able to clear Wald and Steelgrave of the ice pick murders. Orfamay tells him her brother is staying at the clinic of Dr. Vincent Lagardie. Marlowe confronts the doctor, who tranquilizes him with a drugged cigarette. Marlowe comes around during the night and, still groggy, searches the clinic. He hears gunshots and stumbles upon a mortally wounded Orrin. Marlowe finds a photograph that reveals that Wald, Orrin and Orfamay are siblings. This convinces Marlowe that Orrin was the blackmailer and murderer.
Orfamay blames Marlowe for having taken too long looking for Orrin. Marlowe destroys the pictures and the negatives, and then gets a visit from Dolores, who tells him that Wald wants to see him. During their ride to Steelgrave's mansion, Marlowe learns that Dolores and Steelgrave had at one time been romantically involved. Marlowe finds Steelgrave dead and a disconsolate Wald beside him; she tells him she killed Steelgrave because he had her brother killed. In order to protect Wald's reputation, Marlowe sets things up to make it look as if Steelgrave committed suicide, though the police are not fooled.
Marlowe catches Orfamay searching his home and he tells her he has already destroyed the photographs and the negatives. Wald arrives and a heated confrontation reveals that Orfamay knew about Orrin's blackmailing scheme and wanted to stop him for his own safety, for which she hired Marlowe. She subsequently told Steelgrave, in return for one thousand dollars, where to find Orrin. Marlowe breaks up the fight and tells Orfamay to go back to Kansas. In a tender discussion with Wald, she admits she pretended to have killed Steelgrave to protect Orfamay, who she thought had killed him.
With Wald's secret safe, Marlowe confronts Dolores with his suspicion that she was Orrin's partner in crime and once married to Dr. Lagardie. Still in love with Steelgrave, she wanted to force Wald away from him. Orrin murdered Hicks and Clausen because Hicks wanted to take over the scheme, and the drug-addicted Clausen was too unstable. Dolores admits to everything but believes that Marlowe is too fond of Wald to tell the police what he knows. As Marlowe phones the police, Dolores is shot dead by Lagardie, who then kills himself. Marlowe leaves the club before the police arrive.",Paul Bogart,,Novel The Little Sister:/ Raymond Chandler,Sidney Beckerman/ Gabriel Katzka,James Garner/ Gayle Hunnicutt/ Carroll O'Connor/ Rita Moreno/ William Daniels,William H. Daniels,Gene Ruggiero,Peter Matz,,Metro-Goldwyn-Mayer,,96 minutes,"496,076 tickets (Spain/France)",
Marnie (film),Mystery,"Marion Holland flees with nearly $10,000 she stole from the company safe of her employer, Sidney Strutt, the head of a tax consulting company, whom she charmed into hiring her without references. Changing her appearance and identity, Marian, whose real name is Margaret ""Marnie"" Edgar, travels to Virginia, where she stables a horse named Forio. She then visits her invalid mother, Bernice, whom she supports financially, in Baltimore.
Mark Rutland, a wealthy widower who owns a publishing company in Philadelphia, meets with Strutt on business. He learns about the theft and recalls Marnie from a previous visit. Some months later, Marnie, posing as Mary Taylor, applies for a job at Mark's company. Mark hires her after recognizing her. While working weekend overtime with Mark, Marnie has a panic attack during a thunderstorm. Mark comforts, then kisses her. They begin dating. Marnie suffers from bad dreams, and the color red can trigger an extreme emotional reaction.
Soon after, Marnie steals money from Mark's company and flees again. Mark tracks her to the stable where she keeps Forio. He blackmails her into marrying him, much to the chagrin of Lil, the sister of Mark's late wife, who is in love with him. Lil grows suspicious when she discovers Mark has spent a considerable sum since marrying Marnie.
On their honeymoon cruise, Marnie resists Mark's desire for physical intimacy. Mark initially respects her wishes, but it is implied that he rapes her offscreen. The next morning, she attempts to drown herself in the ship's swimming pool, but Mark saves her.
After overhearing Marnie on a phone call, Lil tips off Mark that Marnie's mother is not dead, as Marnie claimed. Mark hires a private detective to investigate. Meanwhile, Lil overhears Mark telling Marnie he has ""paid off Strutt"" on her behalf. Lil mischievously invites Strutt and his wife to a party at the Rutland mansion. Strutt recognizes Marnie, but Mark pressures him into doing nothing. When Marnie later admits to additional robberies, Mark works to reimburse her victims to drop charges.
Mark brings Forio to their estate, pleasing Marnie. During a fox hunt, a red riding coat triggers another of Marnie's fits and Forio bolts, misses a jump, breaks a leg, and is left lying on the ground screaming in pain. Marnie frantically runs to a nearby house, obtains a gun, and shoots her horse. Crazed with grief, Marnie goes home, where she finds the key to Mark's office. She goes to the office and opens the safe, but finds herself unable to take the money, even after Mark arrives and ""urges"" her to take it.
Mark takes Marnie to Baltimore to confront her mother and extract the truth about Marnie's past. They arrive in a thunderstorm. As it is revealed that Bernice was a prostitute, Marnie's long-suppressed memories resurface: when she was a small child, one of Bernice's clients tried to calm a frightened Marnie during a thunderstorm. Seeing him touch Marnie and believing he was trying to molest her, Bernice attacked him. As the man fended her off, she fell and injured her leg, leaving her disabled. Marnie, frightened and attempting to protect her mother, fatally struck the man in the head with a fireplace poker. The sight of his blood caused her hatred of the color red, the thunderstorm that night caused her fear of them, and the connection of the deadly night to sex caused her revulsion at physical intimacy. In the aftermath, Bernice told police that she killed the man and prayed Marnie would forget the event. Understanding the reason behind her behavior, Marnie asks for Mark's help. They leave holding each other closely.",Alfred Hitchcock,,,Alfred Hitchcock,Tippi Hedren/ Sean Connery/ Diane Baker/ Martin Gabel,Robert Burks,George Tomasini,Bernard Herrmann,,Universal Pictures,"July 22, 1964",130 minutes,$3 million,$7 million
The Master Mystery,Mystery,"Justice Department agent Quentin Locke is investigating a powerful cartel that is protected by The Automaton, a robot. However, it uses a gas weapon known as The Madagascar Madness.",Harry Grossman/ Burton L. King,,,B. A. Rolfe,Harry Houdini/ Marguerite Marsh/ Ruth Stonehouse/ Edna Britton/ William Pike/ Charles Graham,,,Michael Mortilla,,Octagon Films,"November 18, 1918",,,
McCanick,Mystery,"Eugene ""Mack"" McCanick (David Morse) is a detective who, along with partner Floyd Intrator (Mike Vogel), hunts down a young criminal named Simon Weeks (Cory Monteith) who was just released from prison.",Josh C. Waller,Daniel Noah,,Ehud Bleiberg/ David Morse/ Josh C. Waller,David Morse/ Cory Monteith/ Mike Vogel/ Ciarán Hinds,Martin Ahlgren,Brett W. Bachman,Jóhann Jóhannsson,,Eagle Films,,96 minutes,,
Meet Nero Wolfe,Mystery,"Wolfe: When I swing down to hit the ball so, the end of this homemade gun is pointing just above my waistline.Archie: Waistline?Wolfe: It's an imaginary line like the equator.At the West Hills Golf Club in Westchester, E.J. Kimball (Walter Kingsford) and his son Manuel (Russell Hardie) are welcomed into the party of elderly Professor Barstow (Boyd Irwin Sr.) and his prospective son-in-law Claude Roberts (Victor Jory). Barstow sends his caddy back to the clubhouse to fetch his visor, and finds himself without his clubs when it is his turn to tee off. The elder Kimball loans his driver to Barstow. Immediately after hitting his drive, Barstow flinches. ""A mosquito bit me just as I hit the ball,"" he complains with good humor. ""Too bad,"" Kimball replies sympathetically, taking the club from Barstow and making his own drive. As the foursome sets out on the course, Barstow is stricken and succumbs quickly to an apparent heart attack.
At the New York brownstone of Nero Wolfe (Edward Arnold), Marie Maringola (Rita Hayworth) offers the sedentary detective genius $50 to find her brother. Although he is an expert metal worker, Carlo Maringola had such trouble finding work in America that he planned to return to the old country. On the eve of his departure Carlo told his sister that he could stay in America after all — he got a job. They had arranged a celebration but Carlo never came. He disappeared.
Wolfe takes Maria's case and sends his confidential assistant Archie Goodwin (Lionel Stander) to investigate at Carlo's apartment house. Archie returns to the brownstone with evidence that suggests that Carlo will never be found alive — and that his death is linked to the death of Professor Barstow. Wolfe theorizes that Barstow was killed by a specially constructed golf club, one that was converted by Carlo into an air rifle that propelled a poisoned needle into his midsection when he struck the ball. His theory is borne out by an autopsy of Barstow, and the discovery of Carlo's body.
Solving the murder of Professor Barstow will be a far more lucrative endeavor, Wolfe is pleased to learn: a $50,000 reward has been offered. But interviews with Barstow's daughter (Joan Perry), his widow (Nana Bryant) and his doctor (Frank Conroy), do little to advance the investigation.
Far more helpful is a luncheon for the four boys who caddied for Professor Barstow's foursome. Hearing their accounts, Wolfe concludes that the intended murder victim had been E.J. Kimball, not Barstow.
Kimball dismisses the notion that his life is in danger until he is informed that his car has been wrecked and his chauffeur is dead — killed by a fer-de-lance, a South American snake that is probably the most poisonous in the world. The autopsies of Professor Barstow and Carlo Maringola reveal that they too were poisoned, by the venom of the fer-de-lance. Convinced that his life is in deadly peril, Kimball pleads for Wolfe's help.
After E.J. Kimball tells him about his sensational past in South America, Wolfe concludes that at least six people had reason to wish him dead — and that the Barstow family is not above suspicion. Wolfe assigns Archie to move in with Kimball and his son, to watch over the old man. After a long game of Monopoly on the Kimballs' terrace that evening, the three men rise to go in to dinner — and shots are fired.
The attack causes Wolfe to summon all of the principals to the brownstone. They are to spend the night, and they will stay as long as necessary.  The next evening a deadly parcel arrives, addressed to Wolfe. The killer has Wolfe in his sights — and Wolfe knows he has the killer under his roof.",Herbert Biberman,Howard J. Green/ Bruce Manning/ Joseph Anthony/ Rex Stout (story),,B.P. Schulberg,Edward Arnold/ Lionel Stander/ Nana Bryant/ Joan Perry/ Victor Jory/ Rita Hayworth,Henry Freulich,Otto Meyer,Howard Jackson,,Columbia Pictures,"July 16, 1936",73 minutes,,
Meet the Wildcat,Mystery,"One day in Mexico, magazine photographer Ann Larkin is in a museum when she happens to see a man steal a painting. Pursuing and accusing him, she believes the man, Brod Williams, to be a notorious art thief known only as ""The Wildcat.""
Brod brings the stolen painting to Leon Dumeray, a gallery owner. Dumeray recognizes it as stolen property and notifies the police, who place Brod under arrest. Ann comes to visit Brod in jail, but after complying with his request to bring him a pineapple from a local fruit stand, she is shocked to find a gun has been hidden inside it. Brod makes a daring escape, forcing Ann to switch clothing with him and fleeing the jail dressed as a woman.
Law authorities later congratulate Brod on his scheme. He is actually a police detective from New York City who is trying to smoke out Dumeray, who is the real Wildcat. He is offered a job by Dumeray, who now trusts Brod to be a dishonest man. Ann, however, doesn't know Dumeray is the thief and tips him off to Brod's true identity. Dumeray takes both as his prisoners, but Brod breaks free and calls for the police.",Arthur Lubin,Alex Gottlieb,,Joseph G. Sanford,Ralph Bellamy/ Margaret Lindsay/ Joseph Schildkraut,Stanley Cortez,Arthur Hilton,Hans J. Salter,,Universal Pictures,October 1940,61 minutes,,
Megiddo: The Omega Code 2,Mystery,"Stone Alexander is a six-year-old boy whose mother has died giving birth to his younger brother, David. During a party at his influential father's home, Stone is left alone with David, who is in his crib. As Stone stares into the fireplace, a fiery force engulfs the boy, possessing him. Stone attempts to burn his baby brother, but David is saved by their nanny. Their father, Daniel (David Hedison), sends Stone away to a military academy in Italy for his education, under the guidance of General Francini (Franco Nero).
Not long after arriving at the academy, he is drawn to a church where he meets his demonic Guardian (Udo Kier) (who later becomes Stone's false prophet), and participates in a black mass ceremony. Years pass, and although Stone is periodically abused by some of his classmates, he eventually earns their respect, becoming the top student in his class. After graduating, Stone meets his younger brother David (Chad Michael Murray), who is now a teenager. Soon after graduation, Stone marries his Italian girlfriend, Gabriella, the daughter of General Francini. The General was initially against their marriage, but Stone summons two smoke-like demons to intimidate the General into giving in.
Eventually, Stone becomes President of the European Union[note 1] He uses his seat of power to dissolve the United Nations and create a world government called the World Union. To consolidate his power, Stone pressures the President of the United States Richard Benson (R. Lee Ermey) to join his global community.[note 2] Stone summons Benson to meet with him in Rome. Prior to departing for Italy, President Benson orders the U.S. Navy's Sixth Fleet to take up position off of the coast of Italy in the event of an emergency.
Accompanying the president on his flight to Italy is David Alexander (Michael Biehn), who is now the Vice President of the United States, and the president's military aide, U.S. Marine Colonel Rick Howard (Gil Colon). During an informal meeting on Air Force One, David and Col. Howard warn the president to keep his distance from Stone, due to a CIA report, which indicates that over 200 people who had opposed Stone in the past had died under questionable circumstances after close contact. Unfortunately, Benson fails to grasp just how ruthless Stone really is; Stone kills him with a supernaturally induced heart attack. David is sworn in as the new President at the hour of President Benson's death.
Much to Stone's disappointment, his brother also refuses to join his New World Order. Secretary of State Breckenridge (Jim Metzler) however, wants the United States to join the global community aligned with Stone.  After failing to convince David to fall in line with the World Union, he publicizes a doctored video of David murdering his father. In reality, it was Stone who killed him.
Breckenridge orders the FBI to arrest the president. After a heated exchange of gunfire between the Secret Service detail and the FBI agents, the president escapes by helicopter to Norfolk Naval Base, where the U.S. Navy brass provides him with transport to the Sixth Fleet on an amphibious assault ship. After arriving, David orders a special forces raid on Stone's castle headquarters in Rome; however, he discovers that Stone is already in Israel. David finds Gabriella (Diane Venora) in the dungeon, confined there by the Guardian after she witnessed some of Stone's demonic powers. She dies in David's arms after professing her love. Following the raid, Colonel Howard receives word that Breckenridge is sending U.S. troops to Israel to join Stone's military coalition, which are on the plains of Megiddo planning a strike on Jerusalem.
Following the raid in Rome, David and Colonel Howard move quietly to join U.S. forces already in Israel. Unknown to Stone, the Mexicans, Chinese, and Americans are really there to destroy Stone and his army. David attempts to kill Stone himself but is soon captured.
Later, Chinese tanks open fire upon his European troops from one side while U.S. and Mexican forces attack from the other. Shortly afterwards, Stone's troops are hit by air strikes as well. Taken completely by surprise, and with his forces being quickly overrun, Stone instructs all his soldiers to fight to the death.  After overrunning Stone's armored and artillery positions, the Mexican tanks charge headlong, targeting the enemy headquarters.
Stone and his officers are swallowed in a huge fireball as tank shells rain in.  David barely manages to break free and jump away before the headquarters explodes behind him.  David is stunned as Stone walks out of the ashes unharmed. He then morphs into a massive creature with some ram's horns and huge leather wings. David realizes in horror that the creature is the incarnation of the devil himself. After fatally wounding David, Stone/Satan summons up his dark brethren as reinforcements, and revives his dead army.  In a full display of his supernatural powers, he even darkens the sun, plunging the whole battlefield into darkness.
The reinforcements soon outnumber and overrun the Mexican, Chinese, and American forces. In triumph, Stone/Satan, celebrates as he cries out loudly that he is Lord.  At this boast, a bright white light lances down into the ruins of the headquarters, and begins dropping meteors of light upon the battlefield. All of Stone's soldiers are killed, while all of the allied survivors remain untouched, and are freed from their bonds. Stone's former Guardian is dismayed at Stone/Satan's defeat, and tries to run from the battlefield. A globe of light chases him and quickly impales him with swords of pure light, causing him to be vaporized. Stone/Satan himself is driven to his knees, and forced to admit that Jesus Christ is the one true Lord. The light then pulverizes the ground beneath him, dropping Stone/Satan (who is trying in vain to hang onto a ledge and is calling out for David to come and save him right before he loses his grip while shouting Nazarene) into a deep pit of molten lava, the Lake of fire. There he finds out that he is chained, and screams in anguish, defeated. As David lies on the ground looking up into the sky smiling, the light becomes brighter, and then fades away, revealing a scene of an Earthly paradise. A scripture is revealed on screen that God has established his home with man, and that He shall reign forever, and ever.",Brian Trenchard-Smith,Stephan Blinn / Hollis Barton / John Fasano,,Matthew Crouch / Lawrence Mortorff / Richard J. Cook,Michael York/ Michael Biehn/ Diane Venora/ R. Lee Ermey/ Udo Kier/ Franco Nero,Bert Dunk,John Lafferty,Peter Bernstein,,Gener8Xion Entertainment / TBN Films,"September 7, 2001",104 minutes,$20 million,$6 million
The Menace of the Mute,Mystery,"A young woman (Louise Rutter), who believes her fiancé (William Harrigan) may have committed a murder, asks Ashton Kirk to investigate the crime. The fiancé admits he went to the man's (Sheldon Lewis) home to retrieve plans for a submarine that was invented by his father, who is a scientist, and stolen by the murdered man, but the fiancé claims he left the home before retrieving the plans. Kirk uses a train conductor's punch ticket to discover the identity of the murderers, one of whom is a mute, and sets a trap to apprehend the suspects.",Arnold Daly/ Ashley Miller,,,Arnold Daly,Sheldon Lewis/ William Harrigan/ Arnold Daly,,,,,"Pathé Exchange, Inc.","November 5, 1915",,,
"Michael Shayne, Private Detective",Mystery,"In this film, much of the main plot has already happened or happens off-camera. We see a subplot that out-of-work private detective Mike Shayne is hired by his friend, wealthy racing executive Hiram Brighton, to, while he's out of town, watch over his spirited daughter Phyllis, who gambles her money away and has begun dating underworld character Harry Grange, to the consternation of the father.
The key plot involves wealthy but shady Elliott Thomas who owned a horse, Banjo Boy. The odds were 15 to 1 against that horse winning. Thomas had a run of bad luck and needed a quick infusion of cash. In south America he found a champion to switch with the same markings as, and a dead-ringer for, Banjo Boy. So as not to affect the track odds, Thomas engaged Grange as a shill to ""spread around"" Thomas' large bet of $10,000. The substitute horse wins, and the payoff is $150,000 (equivalent to over $2 million in 2021 purchasing power).
But Grange would not pay Thomas his money, so Thomas hired another shady character, Larry Kincaid, who tries to hire Shayne to go to Shayne's friend and Grange's boss, casino owner Benny Gordon, to ask him to pressure Grange. Shayne refused, so Kincaid went straight to Grange. When Grange told Kincaid the backstory, Kincaid decided to cut himself in on the pot by blackmailing Thomas.
As a result, Thomas and Kincaid brawled, Kincaid ended up dead, and Grange knew of the meeting. At that point, Thomas felt he had no choice but to do away with Grange.
Shortly before Thomas kills Grange, after a meeting in Gordon's casino, Grange had been drugged, then driven to the woods, smeared with ketchup and left in the convertible by Shayne in a scheme to teach Phyllis a lesson about hanging with shady characters. The scheme backfires when they find Grange has actually been shot dead and Shayne's gun is on the ground, having been fired. Shayne has already tipped the police to ""a murder in the woods"" in the plan to scare Phyllis. Now sirens are heard. Shayne rushes Phillis away in her car but his car won't start and cops arrest him.
In reality, Gordon's daughter Marsha, Grange's angry ex who had been jilted by Grange, happened to stumble upon the crime scene first, became distraught and rushed to her father. In order to protect her from any kind of suspicion, Gordon framed Shayne, having conveniently seen him leave the casino earlier with Grange.
Eventually, Shayne correctly deduces what happened with the murder of Grange, and engineers a trap for Thomas in front of the police, at which point Thomas confesses the horse race plot, the death of Kincaid and throwing his body in the bay, and the murder of Grange, at which point the movie ends.",Eugene Forde,Brett Halliday (novel)/ Stanley Rauh/ Manning O'Connor,,Sol M. Wurtzel,Lloyd Nolan/ Marjorie Weaver/ Joan Valerie,George Schneiderman,Alfred DeGaetano,Cyril J. Mockridge,,20th Century Fox,"December 19, 1940",77 minutes,,
The Midnight Adventure,Mystery,Guests a country mansion all fall under suspicion when a murder is committed.,Duke Worne,Arthur Hoerl,,Duke Worne,Cullen Landis/ Edna Murphy/ Ernest Hilliard,Malcolm Sweeney,Walter L. Griffin,,,Rayart Pictures,May 1928,50 minutes,,
Midnight Faces,Mystery,"Lynn Claymore inherits an estate in a Florida swamp from an uncle he never knew. His lawyer Richard Mason accompanies him to the property. A strange Chinese man is seen wandering the grounds at night, and a man in a cape is spotted skulking down the corridors by Claymore's clichéd ""fraidy-cat"" black manservant Trohelius. Then a young woman named Mary Bronson shows up, asking to be allowed in to escape an assailant with a knife who she says was stalking her.",Bennett Cohen,Bennett Cohen,,Otto K. Schreier,Ralph Bushman/ Kathryn McGuire/ Jack Perrin,King D. Gray,Fred Bain,,,Goodwill Pictures,"March 25, 1926",53 minutes,,
The Midnight Man (1974 film),Mystery,"Former Chicago policeman Jim Slade is paroled from prison, where he had served time for shooting his wife's lover in their bed. He goes to live with his married friends Quartz and Judy in a small town where he has been offered a job as a night watchman at a college.
A college coed is murdered and local sheriff Casey tries to pin the crime on a creepy janitor who spouts biblical revelation while hiding pornography. Slade pursues an unauthorized investigation of his own.
Natalie, the murdered student, is the daughter of Senator Clayborne, who subsequently receives blackmail letters related to tapes of her confession to a psychiatric counselor that she had an incestuous relationship with her father. Slade questions possible suspects, including the senator, Natalie's estranged boyfriend Arthur King (who declares to Slade that the generation gap ""just got a little wider""), psychology professor Dean Collins and a nerdy student whose taped psychiatric rant was also stolen.
All the while, Slade is warned against overstepping his authority as a mere night watchman, no longer a cop, by his parole officer Linda Thorpe and by Quartz. A brief affair between Slade and Thorpe begins. A family of thugs led by a Ma Barker-type mother arrives, and they are revealed to be agents paid by some corrupt members of the sheriff's department to do their dirty work.
Slade realizes that the parole officer and Quartz are the perpetrators of the murder, because only Quartz could have known a certain critical clue involved in the cover-up. Sheriff Casey arrests Quartz. As they depart, Slade confronts Thorpe, who produces the stolen tapes that are hidden in her freezer.
The sheriff offers Slade an apology and a job even though Slade cannot hold a position with the law as a convicted felon.",Roland Kibbee/ Burt Lancaster,,,Roland Kibbee/ Burt Lancaster,Burt Lancaster/ Susan Clark/ Cameron Mitchell/ Morgan Woodward/ Harris Yulin/ Robert Quarry/ Joan Lorring/ Lawrence Dobkin/ Ed Lauter/ Mills Watson/ Charles Tyner/ Catherine Bach,Jack Priestley,Frank Morriss,Dave Grusin,,Universal Pictures,"June 14, 1974",119 minutes,,
Midnight Manhunt,Mystery,"Midnight Manhunt begins with the shooting death of a master criminal who expires in a wax museum. Reporter Sue Gallagher (Ann Savage) is first on the scene, but she is soon in competition with her boyfriend, fellow reporter Pete Willis (William Gargan). The killer traps Sue in the wax museum when he returns there looking for the body. Leo Gorcey plays the caretaker of the wax museum.",William C. Thomas,David Lang,,Maxwell Shane,,Fred Jackman Jr.,Henry Adams,Alexander Laszlo,,Paramount Pictures,"July 24, 1945",64 minutes,,
Midnight Mystery,Mystery,"Gregory Sloane is a millionaire who lives in an isolated mansion on Hawk Island, off the coast of New England. He invites a disparate group of people to his home, who are soon cut off from the mainland when a fierce storm blows in. While confined, tensions erupt among the guests, leading to the murder of Mischa Kawelin.
One of the other guests, Sally Wayne, an author who writes murder mysteries and Sloane's fiancée, takes it upon herself to solve the crime. Over the course of the evening, she uncovers and strategically puts together all the clues, culminating in her getting the murderer to confess.",George B. Seitz,Beulah Marie Dix,,William LeBaron/ Bertram Millhauser (assoc),Betty Compson,Joseph Walker,Otto Ludwig,,,RKO Pictures,,65 minutes,,
Midnight Shadow,Mystery,"The mind-reading Prince Alihabad courts a girl from Oklahoma played by Frances E. Redd. Her parents want to make her happy, but they do not like that Alihabad worships Allah. A killer is on the loose and locals fear that it might be Alihabad.",George Randol,,,George Randol/ Alfred N. Sack,Frances Redd/ Ollie Ann Robinson/ Clinton Rosemond/ Laurence Criner,Arthur Reed,Robert Jahns,Johnny Lange/ Lew Porter,,Sack Amusement Enterprises,1939,54 min,,
The Midnight Warning,Mystery,"A sister & brother check into a posh hotel. Shortly thereafter, the brother is missing, & despite the sister's inquiries, no one admits to ever having seen the man. Meanwhile, a sniper shoots bullets through the window of the room that the brother & sister stayed in. Is there any connection between these events? That's the mystery.",Spencer Gordon Bennet,John T. Neville/ Norman Battle,,Cliff P. Broughton/ George W. Weeks,William 'Stage' Boyd/ Claudia Dell/ Huntley Gordon,Jules Cronjager,Byron Robinson,Lee Zahler,,Mayfair Pictures,"November 15, 1932",63 minutes,,
The Mighty Quinn (film),Mystery,"Xavier Quinn is the chief of police in Jamaica. When Donald Pater, the millionaire owner of a luxury resort hotel, is found murdered, everyone assumes that the culprit is Maubee, a petty crook who also is Quinn's best friend. Quinn does not believe it and clashes with the island's inept Governor Chalk and his arrogant political fixer Thomas Elgin. Quinn's worries over the murder exacerbate his troubles at home; he is estranged from his wife, Lola, and rarely has time to see his son.
Maubee eludes the police at every turn. Quinn questions a witness, who says that Maubee had a (rare) United States $10,000 bill. Trying to track down Maubee, Quinn questions Ubu Pearl, the local witch and aunt of Maubee's girlfriend, Isola.
Chalk introduces Quinn to Fred Miller, an affable American said to represent Pater's company. Pater had been found floating in a hot tub, decapitated. Against Chalk's instructions, Quinn has the body autopsied and finds that Pater died of a venomous snake bite and was already dead when his head was cut off. Quinn arrests Jose Patina, who claims to be on vacation, but has also been questioning people about Maubee's whereabouts.
After Patina is bailed out of jail, he confers with Miller in a seedy hotel. Miller tells him the ""operation"" is over, then kills Patina. Miller goes to Ubu Pearl and demands to know where Maubee is. When she refuses, he burns down her house, with her inside.
Quinn discovers that Pater, a close associate of the President of the United States, brought stacks of $10,000 bills to the island to be picked up by Patina. The President wants to fund an anti-Communist revolution in Latin America, but Congress would not support this. The President acts illegally, using the CIA to deliver discontinued currency that is still legal but will not be missed from storage at the US Treasury. The murder interfered with the plan, so the CIA sent Miller to retrieve the money and ""plug up the holes.""
Quinn tracks Maubee down at their childhood playground in an ancient ruin. Maubee explains that Pater impregnated Isola when she was a maid at his hotel. When Ubu Pearl demanded that Pater support the child, Pater fired Isola. Ubu Pearl instructed Isola to go to the hotel and leave a snake in Pater's room. Maubee sped to the hotel and arrived just as Pater was dying from the snakebite. He cut off Pater's head, put his body into the tub to attempt to conceal the cause of death, and grabbed the sack of money.
Miller appears and holds the pair at gunpoint.  Maubee hands over the money and Miller departs in a helicopter. Enraged, Maubee grabs onto the helicopter as it lifts off over the ocean.  Miller shoots at Maubee and Quinn watches helplessly as his friend's body falls into the ocean. A snake hidden in the sack of money slithers out and fatally bites the helicopter pilot.  Miller struggles to regain control, but the chopper crashes into the old ruins and explodes.
Grieved at the loss of his friend, Quinn returns home and reconciles with his wife. As he walks on the beach with his son, the camera pans down to show a line of barefoot prints emerging from the water, leading to a rock with a $10,000 bill sitting on it.",Carl Schenkel,,,Sandy Lieberson/ Marion Hunt/ Ed Elbert,Denzel Washington/ James Fox/ Mimi Rogers/ M. Emmet Walsh/ Sheryl Lee Ralph/ Robert Townsend,Jacques Steyn,John Jympson,Anne Dudley,,Metro-Goldwyn-Mayer,"February 16, 1989",98 minutes,,"$4,557,214"
